scenario_name,protocol_family,proof_bytes,chunk_size,query_count,predicted_cu,lower_cu,upper_cu,verification_core_cu,transport_overhead_cu,component_predicted_cu,component_gap_vs_monolithic_cu,cu_budget_fraction,proof_transport_pressure,feasible,feasibility_reasons,notes
circle-p4608-c448-q3,Circle,4608,448,3,1525163.199264,1466141.803974,1584184.594554,1518845.717947,6292.940579,1525138.658526,-24.540738,1.089402,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=448, query_count=3. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c448-q4,Circle,4608,448,4,1896463.461453,1837442.066163,1955484.856742,1890005.464641,6292.940579,1896298.405220,-165.056233,1.354617,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=448, query_count=4. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c448-q5,Circle,4608,448,5,2267763.723642,2208742.328352,2326785.118931,2261165.211335,6292.940579,2267458.151914,-305.571728,1.619831,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=448, query_count=5. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c448-q6,Circle,4608,448,6,2722847.879449,2663826.484159,2781869.274739,2716015.643125,6292.940579,2722308.583704,-539.295745,1.944891,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=448, query_count=6. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c512-q3,Circle,4608,512,3,1524814.877626,1465793.482336,1583836.272915,1518845.717947,5942.771186,1524788.489134,-26.388492,1.089153,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=512, query_count=3. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c512-q4,Circle,4608,512,4,1896115.139815,1837093.744525,1955136.535104,1890005.464641,5942.771186,1895948.235827,-166.903987,1.354368,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=512, query_count=4. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c512-q5,Circle,4608,512,5,2267415.402003,2208394.006714,2326436.797293,2261165.211335,5942.771186,2267107.982521,-307.419482,1.619582,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=512, query_count=5. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c512-q6,Circle,4608,512,6,2722499.557811,2663478.162521,2781520.953101,2716015.643125,5942.771186,2721958.414311,-541.143500,1.944643,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=512, query_count=6. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c640-q3,Circle,4608,640,3,1524640.716807,1465619.321517,1583662.112096,1518845.717947,5767.686490,1524613.404437,-27.312370,1.089029,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=640, query_count=3. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c640-q4,Circle,4608,640,4,1895940.978996,1836919.583706,1954962.374285,1890005.464641,5767.686490,1895773.151131,-167.827865,1.354244,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=640, query_count=4. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c640-q5,Circle,4608,640,5,2267241.241184,2208219.845895,2326262.636474,2261165.211335,5767.686490,2266932.897825,-308.343360,1.619458,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=640, query_count=5. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p4608-c640-q6,Circle,4608,640,6,2722325.396992,2663304.001702,2781346.792281,2716015.643125,5767.686490,2721783.329615,-542.067377,1.944518,3.740260,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=4608, chunk_size=640, query_count=6. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c448-q3,Circle,5120,448,3,1529783.367477,1470761.972188,1588804.762767,1522886.466881,6874.136608,1529760.603489,-22.763988,1.092702,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=448, query_count=3. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c448-q4,Circle,5120,448,4,1901083.629666,1842062.234376,1960105.024955,1894046.213575,6874.136608,1900920.350183,-163.279483,1.357917,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=448, query_count=4. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c448-q5,Circle,5120,448,5,2272383.891855,2213362.496565,2331405.287144,2265205.960268,6874.136608,2272080.096877,-303.794978,1.623131,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=448, query_count=5. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c448-q6,Circle,5120,448,6,2727468.047662,2668446.652373,2786489.442952,2720056.392058,6874.136608,2726930.528667,-537.518995,1.948191,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=448, query_count=6. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c512-q3,Circle,5120,512,3,1529435.045839,1470413.650549,1588456.441129,1522886.466881,6523.967216,1529410.434097,-24.611742,1.092454,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=512, query_count=3. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c512-q4,Circle,5120,512,4,1900735.308028,1841713.912738,1959756.703317,1894046.213575,6523.967216,1900570.180790,-165.127237,1.357668,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=512, query_count=4. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c512-q5,Circle,5120,512,5,2272035.570217,2213014.174927,2331056.965506,2265205.960268,6523.967216,2271729.927484,-305.642732,1.622883,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=512, query_count=5. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c512-q6,Circle,5120,512,6,2727119.726024,2668098.330734,2786141.121314,2720056.392058,6523.967216,2726580.359274,-539.366750,1.947943,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=512, query_count=6. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c640-q3,Circle,5120,640,3,1529086.724201,1470065.328911,1588108.119491,1522886.466881,6173.797823,1529060.264704,-26.459497,1.092205,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=640, query_count=3. | Not security-certified; intended for relative SVM pressure comparison only."
circle-p5120-c640-q4,Circle,5120,640,4,1900386.986390,1841365.591100,1959408.381679,1894046.213575,6173.797823,1900220.011398,-166.974992,1.357419,4.155844,false,predicted CU exceeds the transaction compute budget,"Exploratory Circle profile with proof_bytes=5120, chunk_size=640, query_count=4. | Not security-certified; intended for relative SVM pressure comparison only."
