measurement_id,benchmark,label,repetition,timestamp_utc,status,actual_cu,transaction_bytes,error,sha_calls,sha_bytes,merkle_paths,merkle_levels,proof_bytes,proof_segments,upload_bytes,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,ro_account_count,rw_account_count,account_data_bytes_read,account_data_bytes_written,field_add_sub_ops,field_mul_ops,field_inv_ops,extension_mul_ops
Noop-1776603612255-r0,Noop,noop,0,2026-04-19T13:00:12.255748+00:00,Success,342,210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noop-1776603612256-r1,Noop,noop,1,2026-04-19T13:00:12.256885+00:00,Success,342,210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noop-1776603612257-r2,Noop,noop,2,2026-04-19T13:00:12.257946+00:00,Success,342,210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noop-1776603612258-r3,Noop,noop,3,2026-04-19T13:00:12.258892+00:00,Success,342,210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noop-1776603612259-r4,Noop,noop,4,2026-04-19T13:00:12.259862+00:00,Success,342,210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612260-r0,HashSyscall,hash/1x32,0,2026-04-19T13:00:12.260932+00:00,Success,1077,218,,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612261-r1,HashSyscall,hash/1x32,1,2026-04-19T13:00:12.261675+00:00,Success,1077,218,,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612262-r2,HashSyscall,hash/1x32,2,2026-04-19T13:00:12.262384+00:00,Success,1077,218,,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612263-r0,HashSyscall,hash/4x32,0,2026-04-19T13:00:12.263113+00:00,Success,1599,218,,4,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612263-r1,HashSyscall,hash/4x32,1,2026-04-19T13:00:12.263607+00:00,Success,1599,218,,4,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612264-r2,HashSyscall,hash/4x32,2,2026-04-19T13:00:12.264277+00:00,Success,1599,218,,4,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612265-r0,HashSyscall,hash/8x64,0,2026-04-19T13:00:12.265038+00:00,Success,2775,218,,8,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612265-r1,HashSyscall,hash/8x64,1,2026-04-19T13:00:12.265869+00:00,Success,2775,218,,8,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612266-r2,HashSyscall,hash/8x64,2,2026-04-19T13:00:12.266611+00:00,Success,2775,218,,8,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612267-r0,HashSyscall,hash/16x64,0,2026-04-19T13:00:12.267278+00:00,Success,4295,218,,16,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612267-r1,HashSyscall,hash/16x64,1,2026-04-19T13:00:12.267997+00:00,Success,4295,218,,16,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612268-r2,HashSyscall,hash/16x64,2,2026-04-19T13:00:12.268709+00:00,Success,4295,218,,16,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612269-r0,HashSyscall,hash/16x256,0,2026-04-19T13:00:12.269440+00:00,Success,7943,218,,16,4624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612270-r1,HashSyscall,hash/16x256,1,2026-04-19T13:00:12.270159+00:00,Success,7943,218,,16,4624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612270-r2,HashSyscall,hash/16x256,2,2026-04-19T13:00:12.270899+00:00,Success,7943,218,,16,4624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612271-r0,HashSyscall,hash/32x256,0,2026-04-19T13:00:12.271635+00:00,Success,12519,218,,32,9248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612272-r1,HashSyscall,hash/32x256,1,2026-04-19T13:00:12.272366+00:00,Success,12519,218,,32,9248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612273-r2,HashSyscall,hash/32x256,2,2026-04-19T13:00:12.273108+00:00,Success,12519,218,,32,9248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612273-r0,HashSyscall,hash/32x512,0,2026-04-19T13:00:12.273881+00:00,Success,19431,218,,32,17440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612274-r1,HashSyscall,hash/32x512,1,2026-04-19T13:00:12.274709+00:00,Success,19431,218,,32,17440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HashSyscall-1776603612275-r2,HashSyscall,hash/32x512,2,2026-04-19T13:00:12.275464+00:00,Success,19431,218,,32,17440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MerklePath-1776603612276-r0,MerklePath,merkle/4d-1p-32b-Serial,0,2026-04-19T13:00:12.276207+00:00,Success,3267,223,,5,320,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
