measurement_id,benchmark,label,repetition,timestamp_utc,status,actual_cu,transaction_bytes,error,sha_calls,sha_bytes,merkle_paths,merkle_levels,proof_bytes,proof_segments,upload_bytes,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,ro_account_count,rw_account_count,account_data_bytes_read,account_data_bytes_written,field_add_sub_ops,field_mul_ops,field_inv_ops,extension_mul_ops
UploadPath-1776616170888-r0,UploadPath,orthogonal/upload-bytes/1024/chunk-0,0,2026-04-19T16:29:30.888982+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616171143-r0,UploadPath,orthogonal/upload-bytes/1024/chunk-1,0,2026-04-19T16:29:31.143930+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
orthogonal-upload-1776616171400-0,UploadPath,orthogonal/upload-aggregate/bytes-1024,0,2026-04-19T16:29:31.400831+00:00,Success,1672,,,0,0,0,0,0,0,1024,2,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616171764-r0,UploadPath,orthogonal/upload-bytes/2048/chunk-0,0,2026-04-19T16:29:31.764221+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616172018-r0,UploadPath,orthogonal/upload-bytes/2048/chunk-1,0,2026-04-19T16:29:32.018403+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616172274-r0,UploadPath,orthogonal/upload-bytes/2048/chunk-2,0,2026-04-19T16:29:32.274363+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616172527-r0,UploadPath,orthogonal/upload-bytes/2048/chunk-3,0,2026-04-19T16:29:32.527788+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
orthogonal-upload-1776616172778-1,UploadPath,orthogonal/upload-aggregate/bytes-2048,1,2026-04-19T16:29:32.778945+00:00,Success,3344,,,0,0,0,0,0,0,2048,4,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616173143-r0,UploadPath,orthogonal/upload-bytes/3072/chunk-0,0,2026-04-19T16:29:33.143358+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616173402-r0,UploadPath,orthogonal/upload-bytes/3072/chunk-1,0,2026-04-19T16:29:33.402224+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616173659-r0,UploadPath,orthogonal/upload-bytes/3072/chunk-2,0,2026-04-19T16:29:33.659599+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616173915-r0,UploadPath,orthogonal/upload-bytes/3072/chunk-3,0,2026-04-19T16:29:33.915316+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616174169-r0,UploadPath,orthogonal/upload-bytes/3072/chunk-4,0,2026-04-19T16:29:34.169794+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616174427-r0,UploadPath,orthogonal/upload-bytes/3072/chunk-5,0,2026-04-19T16:29:34.427849+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
orthogonal-upload-1776616174682-2,UploadPath,orthogonal/upload-aggregate/bytes-3072,2,2026-04-19T16:29:34.682816+00:00,Success,5016,,,0,0,0,0,0,0,3072,6,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616175042-r0,UploadPath,orthogonal/upload-bytes/4096/chunk-0,0,2026-04-19T16:29:35.042721+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616175299-r0,UploadPath,orthogonal/upload-bytes/4096/chunk-1,0,2026-04-19T16:29:35.299477+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616175557-r0,UploadPath,orthogonal/upload-bytes/4096/chunk-2,0,2026-04-19T16:29:35.557804+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616175817-r0,UploadPath,orthogonal/upload-bytes/4096/chunk-3,0,2026-04-19T16:29:35.817242+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616176074-r0,UploadPath,orthogonal/upload-bytes/4096/chunk-4,0,2026-04-19T16:29:36.074991+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616176332-r0,UploadPath,orthogonal/upload-bytes/4096/chunk-5,0,2026-04-19T16:29:36.332429+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616176586-r0,UploadPath,orthogonal/upload-bytes/4096/chunk-6,0,2026-04-19T16:29:36.586129+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616176843-r0,UploadPath,orthogonal/upload-bytes/4096/chunk-7,0,2026-04-19T16:29:36.843777+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
orthogonal-upload-1776616177097-3,UploadPath,orthogonal/upload-aggregate/bytes-4096,3,2026-04-19T16:29:37.097322+00:00,Success,6688,,,0,0,0,0,0,0,4096,8,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616177357-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-0,0,2026-04-19T16:29:37.357445+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616177613-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-1,0,2026-04-19T16:29:37.613215+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616177868-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-2,0,2026-04-19T16:29:37.868177+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616178124-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-3,0,2026-04-19T16:29:38.124510+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616178381-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-4,0,2026-04-19T16:29:38.381454+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616178640-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-5,0,2026-04-19T16:29:38.640194+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616178895-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-6,0,2026-04-19T16:29:38.895704+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616179154-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-7,0,2026-04-19T16:29:39.154740+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616179409-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-8,0,2026-04-19T16:29:39.409921+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616179667-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-9,0,2026-04-19T16:29:39.667756+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616179925-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-10,0,2026-04-19T16:29:39.925994+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616180184-r0,UploadPath,orthogonal/upload-bytes/6144/chunk-11,0,2026-04-19T16:29:40.184671+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
orthogonal-upload-1776616180436-4,UploadPath,orthogonal/upload-aggregate/bytes-6144,4,2026-04-19T16:29:40.436947+00:00,Success,10032,,,0,0,0,0,0,0,6144,12,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616180699-r0,UploadPath,orthogonal/upload-chunks/896/chunk-0,0,2026-04-19T16:29:40.699806+00:00,Success,836,1181,,0,0,0,0,0,0,896,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616180958-r0,UploadPath,orthogonal/upload-chunks/896/chunk-1,0,2026-04-19T16:29:40.958345+00:00,Success,836,1181,,0,0,0,0,0,0,896,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616181216-r0,UploadPath,orthogonal/upload-chunks/896/chunk-2,0,2026-04-19T16:29:41.216857+00:00,Success,836,1181,,0,0,0,0,0,0,896,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616181472-r0,UploadPath,orthogonal/upload-chunks/896/chunk-3,0,2026-04-19T16:29:41.472910+00:00,Success,836,1181,,0,0,0,0,0,0,896,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616181732-r0,UploadPath,orthogonal/upload-chunks/896/chunk-4,0,2026-04-19T16:29:41.732096+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
orthogonal-upload-1776616181985-0,UploadPath,orthogonal/upload-aggregate/chunks-896,0,2026-04-19T16:29:41.985091+00:00,Success,4180,,,0,0,0,0,0,0,4096,5,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616182447-r0,UploadPath,orthogonal/upload-chunks/768/chunk-0,0,2026-04-19T16:29:42.447670+00:00,Success,836,1053,,0,0,0,0,0,0,768,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616182708-r0,UploadPath,orthogonal/upload-chunks/768/chunk-1,0,2026-04-19T16:29:42.708255+00:00,Success,836,1053,,0,0,0,0,0,0,768,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616182967-r0,UploadPath,orthogonal/upload-chunks/768/chunk-2,0,2026-04-19T16:29:42.967822+00:00,Success,836,1053,,0,0,0,0,0,0,768,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616183225-r0,UploadPath,orthogonal/upload-chunks/768/chunk-3,0,2026-04-19T16:29:43.225293+00:00,Success,836,1053,,0,0,0,0,0,0,768,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616183480-r0,UploadPath,orthogonal/upload-chunks/768/chunk-4,0,2026-04-19T16:29:43.480080+00:00,Success,836,1053,,0,0,0,0,0,0,768,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616183734-r0,UploadPath,orthogonal/upload-chunks/768/chunk-5,0,2026-04-19T16:29:43.734602+00:00,Success,836,541,,0,0,0,0,0,0,256,1,0,0,0,0,0,0,0,0,0,0
orthogonal-upload-1776616183987-1,UploadPath,orthogonal/upload-aggregate/chunks-768,1,2026-04-19T16:29:43.987383+00:00,Success,5016,,,0,0,0,0,0,0,4096,6,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616184248-r0,UploadPath,orthogonal/upload-chunks/512/chunk-0,0,2026-04-19T16:29:44.248163+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616184507-r0,UploadPath,orthogonal/upload-chunks/512/chunk-1,0,2026-04-19T16:29:44.507829+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616184768-r0,UploadPath,orthogonal/upload-chunks/512/chunk-2,0,2026-04-19T16:29:44.768077+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616185022-r0,UploadPath,orthogonal/upload-chunks/512/chunk-3,0,2026-04-19T16:29:45.022379+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616185281-r0,UploadPath,orthogonal/upload-chunks/512/chunk-4,0,2026-04-19T16:29:45.281275+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616185535-r0,UploadPath,orthogonal/upload-chunks/512/chunk-5,0,2026-04-19T16:29:45.535593+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616185793-r0,UploadPath,orthogonal/upload-chunks/512/chunk-6,0,2026-04-19T16:29:45.793773+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616186052-r0,UploadPath,orthogonal/upload-chunks/512/chunk-7,0,2026-04-19T16:29:46.052011+00:00,Success,836,797,,0,0,0,0,0,0,512,1,0,0,0,0,0,0,0,0,0,0
orthogonal-upload-1776616186304-2,UploadPath,orthogonal/upload-aggregate/chunks-512,2,2026-04-19T16:29:46.304006+00:00,Success,6688,,,0,0,0,0,0,0,4096,8,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616186564-r0,UploadPath,orthogonal/upload-chunks/384/chunk-0,0,2026-04-19T16:29:46.564911+00:00,Success,836,669,,0,0,0,0,0,0,384,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616186821-r0,UploadPath,orthogonal/upload-chunks/384/chunk-1,0,2026-04-19T16:29:46.821740+00:00,Success,836,669,,0,0,0,0,0,0,384,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616187080-r0,UploadPath,orthogonal/upload-chunks/384/chunk-2,0,2026-04-19T16:29:47.080069+00:00,Success,836,669,,0,0,0,0,0,0,384,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616187334-r0,UploadPath,orthogonal/upload-chunks/384/chunk-3,0,2026-04-19T16:29:47.334404+00:00,Success,836,669,,0,0,0,0,0,0,384,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616187592-r0,UploadPath,orthogonal/upload-chunks/384/chunk-4,0,2026-04-19T16:29:47.592655+00:00,Success,836,669,,0,0,0,0,0,0,384,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616187848-r0,UploadPath,orthogonal/upload-chunks/384/chunk-5,0,2026-04-19T16:29:47.848458+00:00,Success,836,669,,0,0,0,0,0,0,384,1,0,0,0,0,0,0,0,0,0,0
UploadPath-1776616188104-r0,UploadPath,orthogonal/upload-chunks/384/chunk-6,0,2026-04-19T16:29:48.104134+00:00,Success,836,669,,0,0,0,0,0,0,384,1,0,0,0,0,0,0,0,0,0,0
