scenario_name,protocol_family,proof_bytes,chunk_size,query_count,predicted_cu,lower_cu,upper_cu,verification_core_cu,transport_overhead_cu,component_predicted_cu,component_gap_vs_monolithic_cu,cu_budget_fraction,proof_transport_pressure,feasible,feasibility_reasons,notes
spend-circle-p5632-c448-q3,Circle,5632,448,3,1700989.684360,1641968.289071,1760011.079650,1693408.390164,7455.332638,1700863.722801,-125.961559,1.214993,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 6.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 13. | Derived proof_bytes baseline was 5848; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c448-q4,Circle,5632,448,4,1817331.990500,1758310.595211,1876353.385790,1809713.076809,7455.332638,1817168.409447,-163.581054,1.298094,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 8.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 14. | Derived proof_bytes baseline was 6136; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c448-q5,Circle,5632,448,5,1933674.296640,1874652.901350,1992695.691930,1926017.763454,7455.332638,1933473.096092,-201.200548,1.381196,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 10.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 15. | Derived proof_bytes baseline was 6424; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c448-q6,Circle,5632,448,6,2050016.602780,1990995.207490,2109037.998069,2042322.450099,7455.332638,2049777.782737,-238.820043,1.464298,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 12.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 16. | Derived proof_bytes baseline was 6712; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c512-q3,Circle,5632,512,3,1700641.362722,1641619.967433,1759662.758012,1693408.390164,7105.163245,1700513.553409,-127.809314,1.214744,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 6.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 13. | Derived proof_bytes baseline was 5848; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c512-q4,Circle,5632,512,4,1816983.668862,1757962.273573,1876005.064152,1809713.076809,7105.163245,1816818.240054,-165.428808,1.297845,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 8.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 14. | Derived proof_bytes baseline was 6136; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c512-q5,Circle,5632,512,5,1933325.975002,1874304.579712,1992347.370291,1926017.763454,7105.163245,1933122.926699,-203.048303,1.380947,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 10.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 15. | Derived proof_bytes baseline was 6424; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c512-q6,Circle,5632,512,6,2049668.281142,1990646.885852,2108689.676431,2042322.450099,7105.163245,2049427.613344,-240.667797,1.464049,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 12.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 16. | Derived proof_bytes baseline was 6712; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c640-q3,Circle,5632,640,3,1700293.041084,1641271.645795,1759314.436374,1693408.390164,6754.993853,1700163.384016,-129.657068,1.214495,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 6.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 13. | Derived proof_bytes baseline was 5848; this profile overrides it to 5632 for transport sensitivity."
spend-circle-p5632-c640-q4,Circle,5632,640,4,1816635.347224,1757613.951934,1875656.742514,1809713.076809,6754.993853,1816468.070661,-167.276563,1.297597,4.571429,false,predicted CU exceeds the transaction compute budget | query-controlled soundness lower bound 8.0 bits is below the 128.0-bit target,"Structured spend-screen profile derived from explicit statement and arithmetization assumptions; total_rows=6720, log2_rows=13. | Literal absolute proof-oracle queries in the screening model. Each unit of q contributes one proof-side Merkle authentication path; q is not a round count and not multiplied by hidden batching. | Query soundness is assessed with FRI-style lower and upper bounds at blowup 16: a proven rate^(q/2) lower bound and a conjectured ethSTARK-style rate^q upper bound, plus 0 query-grinding bits. | This tuned screen uses log_blowup=4 and grinding_bits=0. | field_inv_ops uses a structural proxy of 8 instead of the earlier query-scaled proxy of 14. | Derived proof_bytes baseline was 6136; this profile overrides it to 5632 for transport sensitivity."
