scenario_name,protocol_family,soundness_assumption,security_target_bits,cost_scenario_name,rate_parameter_name,log_rate,reciprocal_rate,grinding_bits,minimum_secure_query_count,total_explicit_query_count,chunk_size,proof_bytes,predicted_cu,lower_cu,upper_cu,verification_core_cu,transport_overhead_cu,cu_budget_fraction,proof_transport_pressure,assumption_qualified_feasible,assumption_feasibility_reasons,lower_bound_model_feasible,lower_bound_model_feasibility_reasons
qualified-circle-t100-r2-g0-fri_proven-baseline,Circle,fri_proven,100.0,baseline,log_blowup,1,2,0,200,200,640,43096,24608585.408576,24549564.013286,24667606.803865,24561784.489939,46800.918636,17.577561,34.980519,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g0-fri_proven-fenzi_whir_core_0p8,Circle,fri_proven,100.0,fenzi_whir_core_0p8,log_blowup,1,2,0,200,200,640,43096,24608585.408576,24549564.013286,24667606.803865,24561784.489939,46800.918636,17.577561,34.980519,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g0-fri_proven-m31_mul_0p75,Circle,fri_proven,100.0,m31_mul_0p75,log_blowup,1,2,0,200,200,640,43096,18877652.174048,18818630.778758,18936673.569337,18830851.255411,46800.918636,13.484037,34.980519,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g0-fri_proven-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_proven,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,0,200,200,640,43096,18877652.174048,18818630.778758,18936673.569337,18830851.255411,46800.918636,13.484037,34.980519,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g0-fri_conjectured-baseline,Circle,fri_conjectured,100.0,baseline,log_blowup,1,2,0,100,100,640,23896,12975765.115768,12916743.720478,13034786.511057,12949445.913012,26319.202756,9.268404,19.396104,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g0-fri_conjectured-fenzi_whir_core_0p8,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8,log_blowup,1,2,0,100,100,640,23896,12975765.115768,12916743.720478,13034786.511057,12949445.913012,26319.202756,9.268404,19.396104,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g0-fri_conjectured-m31_mul_0p75,Circle,fri_conjectured,100.0,m31_mul_0p75,log_blowup,1,2,0,100,100,640,23896,10011067.236871,9952045.841582,10070088.632161,9984748.034116,26319.202756,7.150762,19.396104,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g0-fri_conjectured-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,0,100,100,640,23896,10011067.236871,9952045.841582,10070088.632161,9984748.034116,26319.202756,7.150762,19.396104,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g8-fri_proven-baseline,Circle,fri_proven,100.0,baseline,log_blowup,1,2,8,184,184,640,40032,22747553.048063,22688531.652774,22806574.443353,22704057.875418,43495.172646,16.248252,32.493506,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g8-fri_proven-fenzi_whir_core_0p8,Circle,fri_proven,100.0,fenzi_whir_core_0p8,log_blowup,1,2,8,184,184,640,40032,22747553.048063,22688531.652774,22806574.443353,22704057.875418,43495.172646,16.248252,32.493506,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g8-fri_proven-m31_mul_0p75,Circle,fri_proven,100.0,m31_mul_0p75,log_blowup,1,2,8,184,184,640,40032,17459217.470437,17400196.075147,17518238.865726,17415722.297791,43495.172646,12.470870,32.493506,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g8-fri_proven-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_proven,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,8,184,184,640,40032,17459217.470437,17400196.075147,17518238.865726,17415722.297791,43495.172646,12.470870,32.493506,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g8-fri_conjectured-baseline,Circle,fri_conjectured,100.0,baseline,log_blowup,1,2,8,92,92,640,22368,12045288.344801,11986266.949512,12104309.740091,12020706.384644,24581.960157,8.603777,18.155844,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
