variant,group,domain,stage,repetition,include_interpolants,trace_len,slot,proof_bytes,body_bytes,chat_msg_account_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,fri_layers,configured_queries,actual_cu,elapsed_ns,transaction_bytes,error,seed_u64,inc_u64,digest_hex,proof_sha256_hex
trace8_raw_rows,sanity,host,verify,0,false,8,10000,4437,4465,4637,0,0,262144,0,30,,2032250,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,host,verify,1,false,8,10000,4437,4465,4637,0,0,262144,0,30,,1618334,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,host,verify,2,false,8,10000,4437,4465,4637,0,0,262144,0,30,,1617209,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,sbf,init_chat_msg,0,false,8,10000,4437,4465,4637,640,0,0,0,30,1868,,315,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,sbf,write_chat_msg_total,0,false,8,10000,4437,4465,4637,640,7,0,0,30,17507,,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,sbf,verify,0,false,8,10000,4437,4465,4637,0,0,262144,0,30,1157699,,258,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,sbf,pipeline_total,0,false,8,10000,4437,4465,4637,0,0,262144,0,30,1177074,,258,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,sbf,verify,1,false,8,10000,4437,4465,4637,0,0,262144,0,30,1157699,,258,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,sbf,pipeline_total,1,false,8,10000,4437,4465,4637,0,0,262144,0,30,1177074,,258,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,sbf,verify,2,false,8,10000,4437,4465,4637,0,0,262144,0,30,1157699,,258,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace8_raw_rows,sanity,sbf,pipeline_total,2,false,8,10000,4437,4465,4637,0,0,262144,0,30,1177074,,258,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,f7c80e688e50b957ba87361a5bb3372120ad5fdc4a94503085454b78d4d4253a
trace64_q30_raw_rows,fold_experiment,host,verify,0,false,64,10001,13354,13382,13554,0,0,262144,1,30,,4699833,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,host,verify,1,false,64,10001,13354,13382,13554,0,0,262144,1,30,,4419209,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,host,verify,2,false,64,10001,13354,13382,13554,0,0,262144,1,30,,4242625,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,init_chat_msg,0,false,64,10001,13354,13382,13554,640,0,0,1,30,2570,,315,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,write_chat_msg_total,0,false,64,10001,13354,13382,13554,640,21,0,1,30,54789,,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,verify,0,false,64,10001,13354,13382,13554,0,0,262144,1,30,1400000,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,pipeline_total,0,false,64,10001,13354,13382,13554,0,0,262144,1,30,1457359,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,verify,1,false,64,10001,13354,13382,13554,0,0,262144,1,30,1400000,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
