extension_kernel_id,workload,domain,repetition,iterations,logical_units,actual_cu,cu_per_unit,elapsed_ns,ns_per_unit,cm31_mul_ops,cm31_square_ops,cm31_inv_ops,qm31_mul_ops,qm31_square_ops,qm31_inv_ops
schoolbook,cm31_mul,host,0,512,512,,,317666,620.44140625,512,0,0,0,0,0
schoolbook,cm31_mul,sbf,0,512,512,591012,1154.3203125,,,512,0,0,0,0,0
schoolbook,cm31_mul,host,1,512,512,,,313458,612.22265625,512,0,0,0,0,0
schoolbook,cm31_mul,sbf,1,512,512,591012,1154.3203125,,,512,0,0,0,0,0
schoolbook,cm31_mul,host,2,512,512,,,327500,639.6484375,512,0,0,0,0,0
schoolbook,cm31_mul,sbf,2,512,512,591012,1154.3203125,,,512,0,0,0,0,0
schoolbook,cm31_square,host,0,512,512,,,317542,620.19921875,0,512,0,0,0,0
schoolbook,cm31_square,sbf,0,512,512,570281,1113.830078125,,,0,512,0,0,0,0
schoolbook,cm31_square,host,1,512,512,,,323541,631.916015625,0,512,0,0,0,0
schoolbook,cm31_square,sbf,1,512,512,570281,1113.830078125,,,0,512,0,0,0,0
schoolbook,cm31_square,host,2,512,512,,,311208,607.828125,0,512,0,0,0,0
schoolbook,cm31_square,sbf,2,512,512,570281,1113.830078125,,,0,512,0,0,0,0
schoolbook,cm31_mul_const,host,0,512,512,,,309833,605.142578125,0,0,0,0,0,0
schoolbook,cm31_mul_const,sbf,0,512,512,533402,1041.80078125,,,0,0,0,0,0,0
schoolbook,cm31_mul_const,host,1,512,512,,,319083,623.208984375,0,0,0,0,0,0
schoolbook,cm31_mul_const,sbf,1,512,512,533402,1041.80078125,,,0,0,0,0,0,0
schoolbook,cm31_mul_const,host,2,512,512,,,305958,597.57421875,0,0,0,0,0,0
schoolbook,cm31_mul_const,sbf,2,512,512,533402,1041.80078125,,,0,0,0,0,0,0
schoolbook,cm31_inv,host,0,48,48,,,53000,1104.1666666666667,0,0,48,0,0,0
schoolbook,cm31_inv,sbf,0,48,48,182358,3799.125,,,0,0,48,0,0,0
schoolbook,cm31_inv,host,1,48,48,,,52583,1095.4791666666667,0,0,48,0,0,0
schoolbook,cm31_inv,sbf,1,48,48,182358,3799.125,,,0,0,48,0,0,0
schoolbook,cm31_inv,host,2,48,48,,,46000,958.3333333333334,0,0,48,0,0,0
schoolbook,cm31_inv,sbf,2,48,48,182358,3799.125,,,0,0,48,0,0,0
schoolbook,qm31_mul,host,0,256,256,,,192917,753.58203125,1280,0,0,256,0,0
schoolbook,qm31_mul,sbf,0,256,256,511618,1998.5078125,,,1280,0,0,256,0,0
schoolbook,qm31_mul,host,1,256,256,,,189958,742.0234375,1280,0,0,256,0,0
schoolbook,qm31_mul,sbf,1,256,256,511618,1998.5078125,,,1280,0,0,256,0,0
schoolbook,qm31_mul,host,2,256,256,,,193333,755.20703125,1280,0,0,256,0,0
schoolbook,qm31_mul,sbf,2,256,256,511618,1998.5078125,,,1280,0,0,256,0,0
schoolbook,qm31_square,host,0,256,256,,,202875,792.48046875,512,512,0,0,256,0
schoolbook,qm31_square,sbf,0,256,256,441773,1725.67578125,,,512,512,0,0,256,0
schoolbook,qm31_square,host,1,256,256,,,189959,742.02734375,512,512,0,0,256,0
schoolbook,qm31_square,sbf,1,256,256,441773,1725.67578125,,,512,512,0,0,256,0
schoolbook,qm31_square,host,2,256,256,,,202584,791.34375,512,512,0,0,256,0
schoolbook,qm31_square,sbf,2,256,256,441773,1725.67578125,,,512,512,0,0,256,0
schoolbook,qm31_mul_const,host,0,256,256,,,161834,632.1640625,512,0,0,0,0,0
