variant,arithmetic_kernel_id,extension_kernel_id,lift_policy,whir_fold_mode,merkle_proof_mode,stage,repetition,proof_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,actual_cu,elapsed_ns,sha_calls,sha_bytes,merkle_levels,m31_mul_ops,cm31_mul_ops,qm31_mul_ops,field_mul_projection,extension_mul_projection,field_inv_projection,predicted_cu,predicted_component_cu,predicted_core_cu,predicted_transport_cu,abs_error_cu,rel_error
schoolbook_eager_qm31_raw_fibers,reference_canonical,schoolbook,eager_qm31,raw_fibers,separate_paths,host_verify,0,5120,640,8,32768,1,,6081833,1680,103296,128,5376,528,96,6912,672,96,,,,,,
schoolbook_eager_qm31_raw_fibers,reference_canonical,schoolbook,eager_qm31,raw_fibers,separate_paths,upload_total,0,5120,640,8,0,0,10464,,8,5376,0,0,0,0,6912,672,96,,,,,,
schoolbook_eager_qm31_raw_fibers,reference_canonical,schoolbook,eager_qm31,raw_fibers,separate_paths,verify_sbf,0,5120,640,8,32768,1,712132,,1680,103296,128,5376,528,96,6912,672,96,11802934.900544357,11776622.531897202,11770448.734074084,6173.797823117272,11080338.900544357,15.334071736550378
schoolbook_eager_qm31_raw_fibers,reference_canonical,schoolbook,eager_qm31,raw_fibers,separate_paths,total_sbf,0,5120,640,8,32768,1,722596,,1680,103296,128,5376,528,96,6912,672,96,11802934.900544357,11776622.531897202,11770448.734074084,6173.797823117272,11080338.900544357,15.334071736550378
schoolbook_eager_qm31_raw_fibers,reference_canonical,schoolbook,eager_qm31,raw_fibers,separate_paths,verify_sbf,1,5120,640,8,32768,1,712132,,1680,103296,128,5376,528,96,6912,672,96,11802934.900544357,11776622.531897202,11770448.734074084,6173.797823117272,11080338.900544357,15.334071736550378
schoolbook_eager_qm31_raw_fibers,reference_canonical,schoolbook,eager_qm31,raw_fibers,separate_paths,total_sbf,1,5120,640,8,32768,1,722596,,1680,103296,128,5376,528,96,6912,672,96,11802934.900544357,11776622.531897202,11770448.734074084,6173.797823117272,11080338.900544357,15.334071736550378
schoolbook_eager_qm31_raw_fibers,reference_canonical,schoolbook,eager_qm31,raw_fibers,separate_paths,verify_sbf,2,5120,640,8,32768,1,712132,,1680,103296,128,5376,528,96,6912,672,96,11802934.900544357,11776622.531897202,11770448.734074084,6173.797823117272,11080338.900544357,15.334071736550378
schoolbook_eager_qm31_raw_fibers,reference_canonical,schoolbook,eager_qm31,raw_fibers,separate_paths,total_sbf,2,5120,640,8,32768,1,722596,,1680,103296,128,5376,528,96,6912,672,96,11802934.900544357,11776622.531897202,11770448.734074084,6173.797823117272,11080338.900544357,15.334071736550378
schoolbook_eager_qm31_local_interpolant,reference_canonical,schoolbook,eager_qm31,local_interpolant,separate_paths,host_verify,0,5120,640,8,32768,1,,7318875,1680,103296,128,5376,528,96,6912,672,96,,,,,,
schoolbook_eager_qm31_local_interpolant,reference_canonical,schoolbook,eager_qm31,local_interpolant,separate_paths,upload_total,0,5120,640,8,0,0,10464,,8,5376,0,0,0,0,6912,672,96,,,,,,
schoolbook_eager_qm31_local_interpolant,reference_canonical,schoolbook,eager_qm31,local_interpolant,separate_paths,verify_sbf,0,5120,640,8,32768,1,709954,,1680,103296,128,5376,528,96,6912,672,96,11794061.772911172,11767752.482169718,11761578.6843466,6173.797823117272,11073643.772911172,15.371136996731304
schoolbook_eager_qm31_local_interpolant,reference_canonical,schoolbook,eager_qm31,local_interpolant,separate_paths,total_sbf,0,5120,640,8,32768,1,720418,,1680,103296,128,5376,528,96,6912,672,96,11794061.772911172,11767752.482169718,11761578.6843466,6173.797823117272,11073643.772911172,15.371136996731304
schoolbook_eager_qm31_local_interpolant,reference_canonical,schoolbook,eager_qm31,local_interpolant,separate_paths,verify_sbf,1,5120,640,8,32768,1,709954,,1680,103296,128,5376,528,96,6912,672,96,11794061.772911172,11767752.482169718,11761578.6843466,6173.797823117272,11073643.772911172,15.371136996731304
schoolbook_eager_qm31_local_interpolant,reference_canonical,schoolbook,eager_qm31,local_interpolant,separate_paths,total_sbf,1,5120,640,8,32768,1,720418,,1680,103296,128,5376,528,96,6912,672,96,11794061.772911172,11767752.482169718,11761578.6843466,6173.797823117272,11073643.772911172,15.371136996731304
